ax,ay,az,time,acceleration
14234,-920,16993,2018-01-01 00:00:00,30307
17294,-834,17090,2018-01-01 00:00:01,33550
17294,-834,17090,2018-01-01 00:00:02,33550
19784,-878,17190,2018-01-01 00:00:03,36096
19784,-878,17190,2018-01-01 00:00:04,36096
21144,-836,17226,2018-01-01 00:00:05,37534
22348,-850,17244,2018-01-01 00:00:06,38742
23398,-815,17259,2018-01-01 00:00:07,39842
24618,-686,17286,2018-01-01 00:00:08,41218
25780,-638,17311,2018-01-01 00:00:09,42453
26464,-660,17307,2018-01-01 00:00:10,43111
27107,-609,17290,2018-01-01 00:00:11,43788
28098,-525,17335,2018-01-01 00:00:12,44908
29008,-460,17426,2018-01-01 00:00:13,45974
29601,-410,17451,2018-01-01 00:00:14,46642
30218,-346,17427,2018-01-01 00:00:15,47299
30893,-254,17428,2018-01-01 00:00:16,48067
31334,-152,17440,2018-01-01 00:00:17,48622
31742,-36,17468,2018-01-01 00:00:18,49174
32346,94,17512,2018-01-01 00:00:19,49952
32764,213,17535,2018-01-01 00:00:20,50512
32764,339,17522,2018-01-01 00:00:21,50625
32764,589,17496,2018-01-01 00:00:22,50849
32764,956,17487,2018-01-01 00:00:23,51207
32764,1300,17481,2018-01-01 00:00:24,51545
32764,1660,17465,2018-01-01 00:00:25,51889
32764,2046,17465,2018-01-01 00:00:26,52275
32764,2406,17463,2018-01-01 00:00:27,52633
32764,2406,17463,2018-01-01 00:00:28,52633
32764,3092,17466,2018-01-01 00:00:29,53322
32764,3092,17466,2018-01-01 00:00:30,53322
32520,3410,17432,2018-01-01 00:00:31,53362
31809,3460,17363,2018-01-01 00:00:32,52632
31107,3512,17316,2018-01-01 00:00:33,51935
30224,3455,17270,2018-01-01 00:00:34,50949
29251,3346,17228,2018-01-01 00:00:35,49825
28407,3158,17232,2018-01-01 00:00:36,48797
28407,3158,17232,2018-01-01 00:00:37,48797
26090,2420,17139,2018-01-01 00:00:38,45649
26090,2420,17139,2018-01-01 00:00:39,45649
23856,1876,17087,2018-01-01 00:00:40,42819
23856,1876,17087,2018-01-01 00:00:41,42819
21230,1208,17035,2018-01-01 00:00:42,39473
21230,1208,17035,2018-01-01 00:00:43,39473
18424,638,16957,2018-01-01 00:00:44,36019
18424,638,16957,2018-01-01 00:00:45,36019
15689,292,16888,2018-01-01 00:00:46,32869
15689,292,16888,2018-01-01 00:00:47,32869
14088,102,16814,2018-01-01 00:00:48,31004
12609,-103,16761,2018-01-01 00:00:49,29267
11170,-222,16733,2018-01-01 00:00:50,27681
9602,-318,16680,2018-01-01 00:00:51,25964
8086,-426,16622,2018-01-01 00:00:52,24282
6649,-508,16595,2018-01-01 00:00:53,22736
5094,-573,16576,2018-01-01 00:00:54,21097
3529,-611,16539,2018-01-01 00:00:55,19457
2074,-588,16493,2018-01-01 00:00:56,17979
594,-585,16432,2018-01-01 00:00:57,16441
-916,-637,16367,2018-01-01 00:00:58,14814
-2336,-640,16314,2018-01-01 00:00:59,13338
-3727,-628,16268,2018-01-01 00:01:00,11913
-5195,-652,16232,2018-01-01 00:01:01,10385
-6716,-662,16188,2018-01-01 00:01:02,8810
-8154,-656,16120,2018-01-01 00:01:03,7310
-9479,-669,16058,2018-01-01 00:01:04,5910
-10934,-704,16000,2018-01-01 00:01:05,4362
-12432,-677,15938,2018-01-01 00:01:06,2829
-13658,-593,15902,2018-01-01 00:01:07,1651
-14859,-570,15895,2018-01-01 00:01:08,466
-16342,-650,15835,2018-01-01 00:01:09,-1157
-17820,-731,15726,2018-01-01 00:01:10,-2825
-19038,-762,15668,2018-01-01 00:01:11,-4132
-20265,-770,15675,2018-01-01 00:01:12,-5360
-21534,-771,15685,2018-01-01 00:01:13,-6620
-22622,-828,15669,2018-01-01 00:01:14,-7781
-23832,-933,15616,2018-01-01 00:01:15,-9149
-25258,-998,15549,2018-01-01 00:01:16,-10707
-26312,-1041,15528,2018-01-01 00:01:17,-11825
-26991,-1090,15539,2018-01-01 00:01:18,-12542
-28022,-1141,15511,2018-01-01 00:01:19,-13652
-29252,-1224,15469,2018-01-01 00:01:20,-15007
-29891,-1268,15491,2018-01-01 00:01:21,-15668
